ID,Journalist,Channel,Newspaper,Region,City,Topic,Headline,Ratings,Revenue,Airtime,SentimentScore,BiasScore,Viewership,Shares,AdSpend,ControversyFlag,MissingDataFlag,Date,Language,PoliticalAffiliation,SocialMediaInteractions
1360,Owais Tohid,ARYNEWS,The News,Balochistan,Peshawar,Media,Trade deficit widens again,,2060721,,-0.3086257978,,1425345.0,155818.0,50 lakh,No,,2018-01-04,urdu,Neutral,
1361,Talat Hussain,HUM News,Jang,Punjab,Rawalpindi,Terrorism,Government announces new health policy,,5 million,401.0,0.4578091411,2.0,588042.0,,91430.9348,No,,2018-01-22,Urdu,Pro-Govt,
1362,Rauf Klasra,DawnNews,Jang,Islamabad,Peshawar,Terrorism,Senate passes constitutional amendment,,,13.0,,,897621.0,71760.0,,0,0.0,2024-04-26,urdu,Pro-Govt,19888.0
1363,shahzeb khanzada,ARY News,Jang,AJK,Quetta,Terrorism,Army chief meets PM over political crisis,,2 crore,218.0,1.599717091,,,37047.0,,Yes,0.0,2024-03-19,English,Pro-Govt,16024.0
1364,K. Khan,AbbTakk News,Dawn,Islamabad,Multan,Media,Health crisis follows floods,-4.092062234,,213.0,,,4.519800306,,,Yes,0.0,2020-01-19,English,Pro-Govt,
1365,Talat Hussain,Geo,Nawa-i-Waqt,AJK,Peshawar,Terrorism,Health workers go on strike in Punjab,,2 crore,128.0,1.864603681,,,,50 lakh,1,,2024-04-04,Urdu,Opposition,48240.0
1366,Umar Cheema,Geo,Jang,Balochistan,Karachi,Health,SC disqualifies minister in assets case,45.09453101,2 crore,,-0.8000580847,,34.35706966,97223.0,,,1.0,2019-08-11,Urdu,Pro-Govt,30688.0
1367,Shahzeb Khanzada,HUM News,Daily Pakistan,Balochistan,Peshawar,Crime,Supreme Court issues notice on corruption case,,13013631,,-0.2885187746,,1496556.0,28970.0,2009895.762,0,0.0,2018-08-03,urdu,Pro-Govt,4584.0
1368,Shahzeb Khanzada,ary,The News,Balochistan,Rawalpindi,Politics,Five soldiers martyred in ambush,,2 crore,111.0,,2.0,576164.0,,201353.58,0,1.0,2023-03-01,Urdu,Neutral,39345.0
1369,Rauf Klasra,ary,Dawn,Punjab,Hyderabad,Education,CJ addresses bar association,,5 million,,,,413026.0,,1843701.351,0,1.0,2021-03-06,,Opposition,
1370,Umar Cheema,AbbTakk News,Express Tribune,Islamabad,Hyderabad,Health,NDMA warns of heavy rains in Punjab,,,256.0,,0.0,,,3435244.434,1,,2025-08-09,,Pro-Govt,13204.0
1371,Matiullah Jan,ARY,Daily Pakistan,AJK,Lahore,Terrorism,Journalists protest censorship in Islamabad,4.30056951,2 crore,214.0,,,2.518936743,,1 crore,0,,2024-11-12,Urdu,Pro-Govt,5633.0
1372,Umar Cheema,Express-News,Jang,Sindh,Multan,Health,"Judiciary under pressure, say analysts",25.21513964,5 million,,-0.2764614704,1.0,1.77468378,53647.0,50 lakh,Yes,0.0,2018-06-07,English,,40403.0
1373,Najam Sethi,Express,Jang,Punjab,Lahore,Politics,Flood relief funds under scrutiny,54.50134002,1614922,,1.006177008,,,,,Yes,,2018-10-15,Urdu,,36648.0
1374,Rauf Klasra,HUM News,Nawa-i-Waqt,Balochistan,Lahore,Terrorism,Suicide bombing in Peshawar mosque,,,,0.5583055955,1.0,24.02400599,184873.0,1 crore,1,1.0,2023-11-11,ENG,Neutral,
1375,shahzeb khanzada,ARY,Express Tribune,Sindh,Islamabad,Economy,Army chief meets PM over political crisis,102.0297539,16676491,53.0,0.993450084,,720152.0,60667.0,50 lakh,,1.0,2021-01-23,Urdu,,
1376,Matiullah Jan,Express,Express Tribune,KPK,Karachi,Judiciary,Pakistan seeks investment from Gulf countries,,5 million,,0.1455931776,,22.08155413,83091.0,,1,0.0,2018-02-21,Urdu,Pro-Govt,25747.0
1377,Owais Tohid,ARYNEWS,Nawa-i-Waqt,KPK,Karachi,Education,Punjab bans junk food in schools,,2 crore,,0.6457336116,3.0,,105670.0,50 lakh,Yes,,2025-02-19,urdu,Pro-Govt,
1378,Talat Hussain,Express-News,Express Tribune,KPK,Quetta,Politics,Journalists protest censorship in Islamabad,,5 million,,,2.0,449311.0,,50 lakh,0,,2025-09-07,English,Pro-Govt,24002.0
1379,Kamran Shahid,Geo,Nawa-i-Waqt,Sindh,Hyderabad,Economy,Supreme Court issues notice on corruption case,53.99896839,,362.0,,-1.0,27.18175613,160201.0,4900142.792,,0.0,2025-07-22,,Opposition,26553.0
1380,Umar Cheema,AbbTakk News,Express Tribune,AJK,Islamabad,Education,Newspaper circulation declines,110.142567,17391875,,-0.2095105526,,,113464.0,,1,,2019-02-10,,Pro-Govt,4643.0
1381,Dr. Shahid Masood,SAMAA TV,Jang,Sindh,Quetta,Sports,NDMA warns of heavy rains in Punjab,52.46766343,,,1.61643586,4.0,708493.0,1781.0,3789548.474,,0.0,2023-08-02,ENG,Opposition,
1382,Rauf Klasra,hum news,Nawa-i-Waqt,AJK,Peshawar,Media,Dengue cases rising in Lahore hospitals,,5 million,,,2.0,,134061.0,1 crore,Yes,1.0,2018-04-03,Urdu,Neutral,
1383,shahzeb khanzada,HUM News,Nawa-i-Waqt,Islamabad,Lahore,Terrorism,Journalists protest censorship in Islamabad,,,,,0.0,1772804.0,113752.0,1 crore,,1.0,2021-05-08,urdu,,24251.0
1384,RAUF KLASSRA,Express-News,Nawa-i-Waqt,Sindh,Lahore,Judiciary,COVID resurfaces in Islamabad schools,,2 crore,345.0,,,,,1012546.51,No,0.0,2019-06-09,Urdu,,
1385,Saleem Safi,ary,The News,Islamabad,Hyderabad,Economy,Thousands displaced due to rains,,2 crore,,,1.0,1452049.0,45844.0,,No,,2019-04-07,English,Neutral,
1386,Mohsin Raza,ARYNEWS,The News,Punjab,Peshawar,Terrorism,Government announces new health policy,,10 lakh,263.0,0.4978499999,1.0,49.44568628,131048.0,,,0.0,2024-04-08,ENG,,
1387,Najam Sethi,ary,Jang,Punjab,Islamabad,Education,Hospitals face medicine shortages,20.76365544,,,,,,22997.0,390789.7007,1,1.0,2025-09-12,urdu,Neutral,
1388,Umar Cheema,ARY News,Jang,Balochistan,Quetta,Judiciary,Hockey team faces funding crisis,,10 lakh,,,4.0,1535804.0,141468.0,4046151.342,No,,2024-08-13,urdu,Neutral,
1389,Kamran Khan,AbbTakk News,Jang,Punjab,Hyderabad,Crime,Vaccination drive faces shortage,89.85764193,2 crore,-21.0,,4.0,1924610.0,,1 crore,No,0.0,2019-07-20,Urdu,Opposition,40011.0
1390,Mohsin Raza,SAMAA TV,Jang,Islamabad,Hyderabad,Judiciary,Senate passes constitutional amendment,,,,0.3850867715,4.0,32.60980837,30737.0,50 lakh,Yes,,2020-12-21,ENG,Pro-Govt,14404.0
1391,Mohsin Raza Khan,ary,Jang,KPK,Peshawar,Politics,NDMA warns of heavy rains in Punjab,54.67894309,,,,,,16426.0,1 crore,No,,2019-11-21,Urdu,Neutral,47044.0
1392,Dr. Shahid Masood,hum news,Nawa-i-Waqt,Islamabad,Karachi,Terrorism,Punjab bans junk food in schools,,5 million,268.0,-1.56877176,,,19297.0,50 lakh,Yes,0.0,2022-03-21,,Neutral,30984.0
1393,Nusrat Javed,AbbTakk News,Daily Pakistan,Sindh,Multan,Terrorism,Government announces new health policy,34.42574984,,,,2.0,,166960.0,50 lakh,Yes,0.0,2025-03-26,English,Neutral,
1394,shahzeb khanzada,SAMAA TV,Jang,AJK,Lahore,Politics,Babar Azam century wins the game,42.45672985,5022187,,1.590337751,5.0,34.74739072,39912.0,1 crore,0,1.0,2019-11-25,,,
1395,Rauf Klasra,ary,Daily Pakistan,Balochistan,Quetta,Politics,Election rigging scandal unfolds in Lahore,,5 million,15.0,1.060311803,3.0,479767.0,,50 lakh,,1.0,2021-12-18,urdu,Neutral,
1396,Kamran Shahid,GEO NEWS,Daily Pakistan,AJK,Rawalpindi,Media,Attack on Army convoy in Waziristan,50.78045181,10 lakh,416.0,,4.0,,65638.0,1386454.273,No,0.0,2022-01-21,ENG,Opposition,
1397,Matiullah Jan,ary,Nawa-i-Waqt,Sindh,Rawalpindi,Economy,Student unions demand restoration,,,,1.395316049,3.0,,30840.0,789529.3885,,1.0,2023-11-15,Urdu,Neutral,
1398,Mohsin Raza,HUM News,Dawn,Sindh,Peshawar,Judiciary,New talent emerges in under-19 cricket,,5 million,,,,214992.0,112252.0,,Yes,1.0,2020-04-15,,Opposition,8910.0
1399,Matiullah Jan,Geo,The News,Islamabad,Karachi,Media,SC disqualifies minister in assets case,,,-9.0,,4.0,36.99891575,15475.0,1 crore,,,2025-04-16,ENG,,718.0
1400,Najam Sethi,Geo,Express Tribune,Balochistan,Lahore,Media,Five soldiers martyred in ambush,,7921608,-30.0,0.1902648957,5.0,11.77731739,,1 crore,No,0.0,2024-02-21,ENG,Pro-Govt,42272.0
1401,Matiullah Jan,geo,Dawn,Sindh,Multan,Economy,Digital media gaining popularity,,10 lakh,465.0,-1.843719227,3.0,32.44540448,92871.0,,1,1.0,2023-08-12,English,,
1402,RAUF KLASSRA,ARYNEWS,Jang,Sindh,Hyderabad,Judiciary,Education ministry faces criticism,82.17152571,10 lakh,,,,1947843.0,127972.0,1 crore,No,0.0,2025-02-22,English,Pro-Govt,
1403,Nusrat Javed,Samaa,Dawn,Balochistan,Hyderabad,Politics,HEC budget slashed again,,5 million,,-0.2143838488,,,16657.0,,Yes,0.0,2025-09-15,urdu,,20305.0
1404,K. Khan,ARY News,Jang,KPK,Multan,Sports,"Judiciary under pressure, say analysts",12.23735476,,,,,1577169.0,118266.0,,,,2019-09-28,urdu,Opposition,33440.0
1405,K. Khan,ARY,Nawa-i-Waqt,Islamabad,Islamabad,Terrorism,Election rigging scandal unfolds in Lahore,59.40698924,2 crore,375.0,,,,,50 lakh,Yes,,2019-07-08,Urdu,,23468.0
1406,Shahzeb Khanzada,HUM News,Daily Pakistan,AJK,Lahore,Media,Bomb blast near Karachi market,,10 lakh,27.0,0.7786424311,,648747.0,42954.0,2982970.794,1,1.0,2018-05-02,,Neutral,35425.0
1407,RAUF KLASSRA,ARYNEWS,Jang,Balochistan,Quetta,Terrorism,Dengue cases rising in Lahore hospitals,,5 million,92.0,,,865043.0,52662.0,1 crore,0,,2019-04-03,,Opposition,32210.0
1408,Mohsin Raza Khan,hum news,Dawn,KPK,Multan,Media,Government to increase petrol price by Rs. 20,,2 crore,440.0,1.989148533,-1.0,22.82899153,132775.0,50 lakh,Yes,,2021-05-14,,Neutral,20276.0
1409,Nusrat Javed,ARY,Dawn,Islamabad,Quetta,Judiciary,Budget deficit reaches record high,25.60480811,12940477,,1.533457082,3.0,38.00043083,,1 crore,,1.0,2019-01-05,Urdu,Neutral,28638.0
1410,Asma Shirazi,geo,Daily Pakistan,KPK,Karachi,Judiciary,PPP vs PMLN war of words heats up,,5 million,,,,1755094.0,143092.0,50 lakh,No,,2020-04-27,urdu,Neutral,28303.0
1411,Dr. Shahid Masood,GEO NEWS,Daily Pakistan,KPK,Quetta,Terrorism,PPP vs PMLN war of words heats up,46.24211185,5 million,168.0,-1.668913173,5.0,46.13997095,,3778747.565,Yes,1.0,2025-12-17,English,Neutral,
1412,Umar Cheema,SAMAA TV,Daily Pakistan,Balochistan,Quetta,Education,Government launches CPEC project in Gwadar,49.99354705,,,1.774080497,-1.0,,68309.0,,1,1.0,2023-09-05,English,Pro-Govt,48706.0
1413,Mohsin Raza,Geo,Nawa-i-Waqt,Islamabad,Peshawar,Media,Budget deficit reaches record high,55.08610703,11090486,77.0,0.1319086177,,516462.0,152739.0,50 lakh,No,,2023-02-15,ENG,Pro-Govt,14585.0
1414,Rauf Klasra,DawnNews,Dawn,Punjab,Lahore,Health,Bomb blast near Karachi market,72.36241021,5 million,,-0.5487564477,0.0,801095.0,165257.0,,,0.0,2020-05-21,,Neutral,
1415,Mohsin Raza Khan,ARYNEWS,Jang,Islamabad,Hyderabad,Judiciary,Vaccination drive faces shortage,,2 crore,53.0,-0.3441081033,,11.84503731,147570.0,,No,0.0,2018-04-01,English,,
1416,Mohsin Raza Khan,ARY News,Jang,Balochistan,Hyderabad,Economy,Digital media gaining popularity,,10124627,181.0,,,,173875.0,1 crore,1,0.0,2021-08-20,English,Opposition,
1417,shahzeb khanzada,Express,Express Tribune,Sindh,Multan,Terrorism,Punjab bans junk food in schools,,2 crore,,,,,,4960046.307,,,2019-04-28,ENG,Neutral,
1418,Umar Cheema,ARY News,Express Tribune,Balochistan,Karachi,Sports,Terrorist attack in Quetta leaves 20 dead,,2 crore,125.0,-1.233909878,4.0,1181338.0,,,,0.0,2024-12-12,urdu,,
1419,Najam Sethi,AbbTakk News,Dawn,KPK,Lahore,Judiciary,Babar Azam century wins the game,,10 lakh,,,5.0,,,,No,0.0,2022-05-06,Urdu,Opposition,
1420,Matiullah Jan,HUM News,Express Tribune,Punjab,Multan,Politics,Karachi drainage system collapses,,,,,,206740.0,8569.0,50 lakh,0,1.0,2024-07-05,English,Neutral,
1421,K. Khan,GEO NEWS,The News,Islamabad,Karachi,Terrorism,High Court stays government decision,2.838613697,2 crore,,,,714036.0,,50 lakh,No,0.0,2020-12-07,ENG,Pro-Govt,40277.0
1422,Kamran Khan,Geo,Jang,Sindh,Karachi,Education,Climate change worsening floods,,6538791,,-0.7967729157,-1.0,13.06580335,115503.0,1 crore,1,0.0,2023-09-01,ENG,Neutral,40001.0
1423,Umar Cheema,Express-News,Express Tribune,Balochistan,Lahore,Judiciary,Cricket team departs for World Cup,,3655998,282.0,,,1618142.0,,50 lakh,0,1.0,2019-12-27,Urdu,Opposition,15821.0
1424,Matiullah Jan,geo,Jang,Balochistan,Multan,Terrorism,Aid for Balochistan still missing,119.9095407,5 million,79.0,,,43.70867213,,,Yes,1.0,2018-11-17,Urdu,Opposition,
1425,Umar Cheema,ary,Dawn,Sindh,Quetta,Health,Dawn faces backlash over editorial,,10 lakh,154.0,,3.0,,,50 lakh,0,1.0,2021-08-22,ENG,,
1426,shahzeb khanzada,Express-News,The News,AJK,Quetta,Politics,Chief Justice orders suo moto on Karachi violence,,5 million,,0.6105356543,-1.0,1361443.0,40962.0,1 crore,1,,2024-12-19,urdu,Neutral,
1427,Asma Shirazi,DAWN,The News,Islamabad,Islamabad,Terrorism,Relief camp set up in Multan,,5 million,,-0.96961542,,7.256797026,14006.0,1107606.768,Yes,,2024-11-03,ENG,Pro-Govt,
1428,Mohsin Raza,GEO NEWS,Nawa-i-Waqt,AJK,Hyderabad,Health,Security forces foil major terror bid,,,303.0,0.2830524007,1.0,1482011.0,111519.0,50 lakh,No,0.0,2023-06-07,ENG,Pro-Govt,6482.0
1429,Ansar Abbasi,ARYNEWS,Daily Pakistan,KPK,Quetta,Sports,Supreme Court issues notice on corruption case,13.22125918,2 crore,37.0,,,,97413.0,50 lakh,Yes,1.0,2022-12-05,ENG,Neutral,43093.0
1430,Mohsin Raza Khan,DAWN,Jang,AJK,Karachi,Education,Suicide bombing in Peshawar mosque,92.47728181,,,,4.0,5.754415158,150113.0,604056.8927,1,0.0,2019-06-19,,,
1431,Mohsin Raza Khan,ary,The News,KPK,Quetta,Politics,IMF deal finalised today,,5 million,,,,8.956092896,,1 crore,1,0.0,2023-09-07,ENG,,19364.0
1432,Kamran Shahid,ARY News,The News,Punjab,Rawalpindi,Education,Terrorist attack in Quetta leaves 20 dead,43.63886774,2 crore,,0.6418715331,4.0,,,,1,,2020-09-16,urdu,Opposition,
1433,Saleem Safi,Geo,Jang,KPK,Hyderabad,Media,Khan addresses rally in Multan,,2 crore,,,5.0,,,1537016.024,No,0.0,2019-08-03,ENG,,
1434,Saleem Safi,ARYNEWS,Daily Pakistan,Balochistan,Quetta,Education,Pakistan seeks investment from Gulf countries,,,402.0,-0.1230441874,,11.05676815,,,1,,2023-09-23,English,Opposition,
1435,Dr. Shahid Masood,GEO NEWS,Jang,Islamabad,Hyderabad,Media,International squash event begins in Islamabad,,5 million,,,3.0,,20893.0,252410.4744,No,,2018-11-24,,Pro-Govt,
1436,Matiullah Jan,HUM News,The News,Balochistan,Lahore,Health,Polio cases reported in KPK,,10 lakh,404.0,1.595214892,5.0,1768972.0,136540.0,1 crore,1,0.0,2019-11-03,urdu,Neutral,
1437,Ansar Abbasi,Geo,Express Tribune,Punjab,Hyderabad,Sports,Suicide bombing in Peshawar mosque,8.147096273,8618771,,-1.450092412,,1311974.0,,1 crore,Yes,,2024-07-03,ENG,Pro-Govt,
1438,Mohsin Raza Khan,AbbTakk News,Express Tribune,Balochistan,Multan,Health,Lawyers boycott proceedings,11.80185134,5 million,,0.05182092622,,401088.0,,1 crore,0,,2022-03-08,Urdu,,
1439,Kamran Khan,ARY,The News,AJK,Lahore,Crime,Private schools increase fees,,10 lakh,,-1.138169823,2.0,,,2394762.52,1,1.0,2021-04-10,ENG,Neutral,42247.0
1440,shahzeb khanzada,DAWN,Daily Pakistan,Islamabad,Rawalpindi,Politics,PPP vs PMLN war of words heats up,51.45540579,5 million,,-1.911845831,,,48358.0,1 crore,No,1.0,2020-05-09,English,Pro-Govt,18624.0
1441,Umar Cheema,HUM News,Dawn,AJK,Peshawar,Media,Education ministry faces criticism,-1.453300771,2 crore,73.0,,,29.76264863,,3503479.476,No,1.0,2022-08-08,urdu,Opposition,
1442,Ansar Abbasi,Samaa,Express Tribune,AJK,Hyderabad,Judiciary,CJ addresses bar association,14.72259741,2 crore,,-1.793731901,0.0,17.18313648,123406.0,,0,0.0,2024-08-08,,Pro-Govt,
1443,Ansar Abbasi,hum news,Nawa-i-Waqt,Balochistan,Hyderabad,Crime,Senate passes constitutional amendment,31.67284044,2 crore,39.0,,,20.18651981,119317.0,50 lakh,0,,2018-05-18,ENG,,
1444,Umar Cheema,geo,Jang,Sindh,Karachi,Media,Revenue from tax declines drastically,,,410.0,,,190291.0,103765.0,,0,1.0,2022-08-25,ENG,,
1445,RAUF KLASSRA,hum news,Dawn,Punjab,Lahore,Crime,TTP commander killed in operation,-2.080037472,2 crore,,1.525618313,,,,,Yes,,2025-09-06,ENG,Pro-Govt,
1446,Owais Tohid,hum news,Dawn,Sindh,Multan,Politics,Case adjourned till next week,45.85313265,,259.0,,5.0,1375844.0,3902.0,,0,1.0,2019-03-09,Urdu,Opposition,
1447,Asma Shirazi,ARY,Jang,KPK,Peshawar,Politics,Pakistan football team defeats India,87.80140736,,160.0,-1.804016206,,,98420.0,1 crore,1,0.0,2023-05-14,English,,47414.0
1448,Nusrat Javed,ARY,Nawa-i-Waqt,Islamabad,Rawalpindi,Media,Hospitals face medicine shortages,70.77903886,10 lakh,426.0,,1.0,7.441705348,,,Yes,,2023-04-24,ENG,Pro-Govt,13517.0
1449,Shahzeb Khanzada,HUM News,Daily Pakistan,Sindh,Lahore,Sports,Attack on Army convoy in Waziristan,-1.358143305,,,,0.0,41.92307221,,4026075.765,Yes,1.0,2023-01-16,Urdu,Pro-Govt,
1450,Matiullah Jan,DAWN,Nawa-i-Waqt,Balochistan,Karachi,Economy,Case adjourned till next week,,,476.0,1.769763292,,,171408.0,267646.149,No,,2020-05-11,urdu,Opposition,40298.0
1451,Rauf Klasra,ary,Jang,Sindh,Islamabad,Judiciary,Student unions demand restoration,109.967256,2 crore,9.0,-1.85322931,,22.38236682,,50 lakh,,0.0,2020-02-02,Urdu,Opposition,
1452,Owais Tohid,AbbTakk News,Nawa-i-Waqt,Islamabad,Hyderabad,Sports,Punjab bans junk food in schools,26.7466087,17248020,,,0.0,1171237.0,,,,1.0,2024-08-03,English,Pro-Govt,39303.0
1453,Umar Cheema,Geo,Nawa-i-Waqt,AJK,Hyderabad,Terrorism,Hospitals face medicine shortages,,17420664,,,,23.1863145,103533.0,,No,1.0,2018-01-01,urdu,Pro-Govt,29500.0
1454,Shahzeb Khanzada,ARY,Dawn,Punjab,Karachi,Judiciary,New tax reforms spark debate in parliament,47.84266483,16581087,,0.9771364362,0.0,,,2341084.082,Yes,,2024-12-24,ENG,Opposition,47127.0
1455,Ansar Abbasi,Geo,Nawa-i-Waqt,KPK,Multan,Media,"Media freedom at risk, says HRCP report",,2 crore,373.0,-0.1283958381,,1800480.0,,50 lakh,0,,2024-11-20,English,Pro-Govt,14298.0
1456,Ansar Abbasi,Geo,Nawa-i-Waqt,Balochistan,Peshawar,Education,Teachers boycott classes in KP,,2 crore,355.0,1.405852076,3.0,1987771.0,,,,0.0,2019-02-23,English,Opposition,523.0
1457,Dr. Shahid Masood,ARY,Daily Pakistan,Islamabad,Peshawar,Media,Top court rejects NAB report,-4.30011411,,366.0,,,987589.0,,50 lakh,1,,2022-03-17,English,Opposition,49381.0
1458,Rauf Klasra,geo,Dawn,Islamabad,Rawalpindi,Media,PSL Final: Lahore Qalandars vs Karachi Kings,,5 million,,1.376734971,0.0,14.09422973,,2829178.401,Yes,,2018-12-08,ENG,,7066.0
1459,Umar Cheema,Express,Dawn,Islamabad,Quetta,Politics,Mental health awareness campaign launched,,2 crore,301.0,0.7682573501,,34.64977243,113724.0,1 crore,,0.0,2022-09-13,English,,
1460,Najam Sethi,AbbTakk News,The News,Sindh,Lahore,Sports,International squash event begins in Islamabad,69.29997059,5 million,,0.6252865572,,49.57890079,,1 crore,0,0.0,2024-08-10,Urdu,Neutral,49905.0
1461,Nusrat Javed,HUM News,Daily Pakistan,Balochistan,Islamabad,Terrorism,Pakistan football team defeats India,,,,,,538154.0,,1 crore,Yes,,2018-09-12,urdu,Opposition,10041.0
1462,Ansar Abbasi,ary,The News,AJK,Lahore,Terrorism,Flood relief funds under scrutiny,71.23094024,7413161,,,0.0,,156191.0,1 crore,,0.0,2022-07-03,urdu,Pro-Govt,
1463,Asma Shirazi,Samaa,Daily Pakistan,Punjab,Hyderabad,Health,Ban on talkshows sparks outrage,68.35637358,2 crore,,-1.7822285,,24.48154082,,246611.2101,No,1.0,2025-01-07,Urdu,Pro-Govt,6362.0
1464,Mohsin Raza,GEO NEWS,Nawa-i-Waqt,Sindh,Hyderabad,Education,Hospitals face medicine shortages,47.04508944,10 lakh,242.0,-1.748208545,5.0,27.46631422,12251.0,495335.8091,0,0.0,2018-05-26,ENG,,17666.0
1465,shahzeb khanzada,hum news,Dawn,KPK,Islamabad,Media,ARY anchor arrested in midnight raid,,5 million,,,,41.00420953,190484.0,2394455.322,No,,2021-04-16,ENG,Opposition,21738.0
1466,Ansar Abbasi,AbbTakk News,The News,Sindh,Karachi,Crime,Hockey team faces funding crisis,97.78128295,9846124,140.0,-0.7252150284,,,171206.0,1 crore,1,,2024-10-22,,Opposition,
1467,Saleem Safi,Express-News,The News,Islamabad,Rawalpindi,Health,Suicide bombing in Peshawar mosque,78.85091381,2 crore,88.0,,4.0,266066.0,60410.0,1 crore,Yes,1.0,2025-10-09,English,Neutral,41658.0
1468,Talat Hussain,DawnNews,Dawn,AJK,Karachi,Economy,Remittances fall sharply in July,-3.470414197,,,0.9493130692,4.0,,,1474821.146,0,1.0,2020-10-18,,Pro-Govt,
1469,Kamran Shahid,ARY,The News,Sindh,Lahore,Terrorism,Pakistan seeks investment from Gulf countries,,10 lakh,318.0,,,,,,No,,2024-03-28,Urdu,Opposition,30893.0
1470,Ansar Abbasi,ARYNEWS,The News,AJK,Karachi,Sports,Curriculum reforms announced,,8333155,,,2.0,648442.0,64252.0,4954616.285,0,,2020-04-03,English,Opposition,15363.0
1471,Nusrat Javed,SAMAA TV,Nawa-i-Waqt,Balochistan,Hyderabad,Economy,Government to increase petrol price by Rs. 20,,2 crore,135.0,,-1.0,46.31503765,69580.0,,,,2024-10-12,English,Opposition,27393.0
1472,Nusrat Javed,GEO NEWS,Dawn,KPK,Quetta,Politics,Chief Justice orders suo moto on Karachi violence,57.74427057,,,,0.0,1887844.0,,,No,1.0,2019-12-27,urdu,Pro-Govt,
1473,Saleem Safi,SAMAA TV,Nawa-i-Waqt,KPK,Karachi,Judiciary,Women cricket team sets new record,77.08208379,,,,2.0,1723887.0,,1771032.672,0,1.0,2023-10-08,Urdu,Opposition,11535.0
1474,Kamran Shahid,ARYNEWS,Dawn,Islamabad,Rawalpindi,Politics,International squash event begins in Islamabad,1.722507257,,,0.1337469231,-1.0,,69065.0,1 crore,Yes,1.0,2018-02-15,Urdu,,
1475,RAUF KLASSRA,Express,Jang,Balochistan,Peshawar,Education,Student unions demand restoration,55.81117314,4228488,,0.8695007066,,,85232.0,2963939.699,1,0.0,2024-04-16,ENG,Opposition,26891.0
1476,K. Khan,hum news,Dawn,Balochistan,Lahore,Judiciary,Government to increase petrol price by Rs. 20,113.2260897,5 million,,-1.227263643,-1.0,49.816417,128822.0,3961435.281,No,0.0,2021-09-25,English,Opposition,20630.0
1477,RAUF KLASSRA,ARY News,Express Tribune,Punjab,Karachi,Terrorism,Attack on Army convoy in Waziristan,,2 crore,,1.879289383,,1734317.0,,1363622.037,,,2018-06-15,ENG,,
1478,Asma Shirazi,DawnNews,Nawa-i-Waqt,Islamabad,Quetta,Judiciary,Vaccination drive faces shortage,,2 crore,,1.945141275,,,199705.0,,Yes,1.0,2018-06-15,Urdu,,
1479,Owais Tohid,HUM News,Jang,KPK,Lahore,Economy,Digital media gaining popularity,,5 million,93.0,1.240003574,,,,89676.90659,1,,2023-11-11,urdu,Neutral,37793.0
1480,Umar Cheema,ary,Jang,Punjab,Rawalpindi,Judiciary,Army chief meets PM over political crisis,,2 crore,371.0,1.716166342,-1.0,49.79067319,113935.0,,No,,2018-11-25,urdu,Pro-Govt,3621.0
1481,Kamran Shahid,HUM News,The News,KPK,Karachi,Sports,Ban on talkshows sparks outrage,117.9016722,2 crore,,,,884610.0,184828.0,4485942.927,Yes,1.0,2025-06-18,ENG,Pro-Govt,
1482,Nusrat Javed,Samaa,The News,Punjab,Multan,Education,PEMRA issues warning to multiple channels,63.37507524,5 million,-18.0,,0.0,39.5079688,,50 lakh,Yes,0.0,2019-12-26,ENG,Pro-Govt,44673.0
1483,Nusrat Javed,ARYNEWS,The News,Sindh,Islamabad,Politics,Remittances fall sharply in July,95.1956875,10 lakh,35.0,,,,,1 crore,,,2021-08-12,,,44946.0
1484,Ansar Abbasi,AbbTakk News,Jang,Punjab,Peshawar,Judiciary,Pakistan faces defeat in hockey series,,,,-0.5051184832,-1.0,40.70910605,4098.0,50 lakh,Yes,1.0,2022-04-25,Urdu,,15123.0
1485,Umar Cheema,Samaa,Daily Pakistan,Sindh,Hyderabad,Politics,Top court rejects NAB report,,15482223,,,4.0,,,2543304.987,,,2019-09-10,English,Opposition,
1486,Kamran Khan,ary,Nawa-i-Waqt,KPK,Rawalpindi,Media,Cabinet approves controversial media law,,5 million,,-0.003811174162,0.0,,196196.0,1218894.022,,0.0,2024-11-24,urdu,,20222.0
1487,K. Khan,Samaa,Nawa-i-Waqt,AJK,Islamabad,Media,New tax reforms spark debate in parliament,72.9680336,2 crore,,1.146396667,,1993812.0,,,,0.0,2019-03-25,English,Pro-Govt,37202.0
1488,RAUF KLASSRA,SAMAA TV,The News,AJK,Islamabad,Health,Five soldiers martyred in ambush,71.20337937,,,,2.0,18.03662395,128911.0,1 crore,No,0.0,2019-02-02,English,,28027.0
1489,Umar Cheema,Geo,Dawn,AJK,Islamabad,Judiciary,High Court stays government decision,73.87089709,2 crore,225.0,-1.78657405,,33573.0,162068.0,2272582.103,0,0.0,2019-06-15,,,20103.0
1490,Owais Tohid,HUM News,Daily Pakistan,Balochistan,Multan,Economy,Lawyers boycott proceedings,,5 million,166.0,-0.9605271239,,,151683.0,,Yes,0.0,2021-05-01,Urdu,,
1491,Umar Cheema,DawnNews,The News,KPK,Quetta,Education,Thousands displaced due to rains,4.508690109,10 lakh,,,1.0,10.68476019,186283.0,,1,,2020-05-19,ENG,Pro-Govt,40145.0
